transaction_id,account_id,timestamp,amount,currency,mcc,mcc_desc,geo,device,hist_mean,hist_std,merchant_age_days,minutes_since_prev_txn,prior_outcome,is_anomaly,anomaly_type
T0001,A1004,2025-09-08 21:55:23.202315,5.0,USD,7995,Betting,DE,known,255.67,85.47,491,,approved,False,
T0002,A1002,2025-09-08 22:35:35.643739,114.49,USD,799,MY,known,58.89,31.15,16,40.0,approved,False,
T0003,A1011,2025-09-09 01:34:49.946664,172.65,USD,5411,Restaurant,US,known,80.25,33.26,196,179.0,declined,False,
T0004,A1006,2025-09-09 02:20:11.059272,43.7,USD,5812,Restaurant,US,new,163.4,36.65,31,45.0,approved,False,
T0005,A1006,2025-09-09 02:44:52.489462,131.32,USD,5411,Grocery,DE,new,163.4,36.65,9,24.0,approved,False,
T0006,A1000,2025-09-09 05:34:36.513034,167.36,USD,5311,Dept Store,US,known,160.76,73.43,72,169.0,declined,False,
T0007,A1008,2025-09-09 06:06:48.611248,34.54,USD,5411,Grocery,US,known,105.12,24.69,151,32.0,declined,False,
T0008,A1011,2025-09-09 08:23:49.695159,86.09,USD,5812,Restaurant,CA,known,80.25,33.26,114,137.0,approved,False,
T0009,A1003,2025-09-09 08:27:52.262659,123.0,USD,5311,Dept Store,US,new,74.27,58.0,154,4.0,approved,False,
T0010,A1010,2025-09-09 11:10:11.236128,5556.16,USD,4829,Fuel,BR,new,71.3,54.38,71,162.0,approved,True,new_device_new_geo_high_wire
T0011,A1015,2025-09-09 12:17:35.514514,88.09,USD,5812,Restaurant,CN,known,54.38,29.48,135,67.0,approved,False,
T0012,A1003,2025-09-09 12:36:12.751366,5.0,USD,5812,Restaurant,BR,known,74.27,58.0,291,18.0,declined,False,
T0013,A1005,2025-09-09 15:03:30.776522,41.37,USD,5812,Restaurant,BR,known,57.17,15.8,268,147.0,approved,False,
T0014,A1012,2025-09-09 15:14:28.510981,141.03,USD,5311,Dept Store,MX,new,65.3,76.7,138,10.0,approved,False,
T0015,A1005,2025-09-09 15:37:05.058331,123.79,USD,5411,Grocery,US,known,57.17,15.8,14,22.0,approved,False,
T0016,A1004,2025-09-09 15:45:51.687807,47.36,USD,5812,Restaurant,IN,new,255.67,85.47,254,8.0,approved,False,
T0017,A1015,2025-09-09 17:41:54.913556,37.61,USD,5311,Dept Store,CN,known,54.38,29.48,741,116.0,approved,False,
T0018,A1004,2025-09-09 19:43:09.813354,115.56,USD,5411,Grocery,US,known,255.67,85.47,708,121.0,approved,False,
T0019,A1004,2025-09-09 19:55:33.057473,19.81,USD,5812,Restaurant,BR,known,255.67,85.47,561,12.0,approved,False,
T0020,A1000,2025-09-09 21:17:27.519965,144.93,USD,5411,Grocery,GB,known,160.76,73.43,4,81.0,approved,False,
