transaction_id,account_id,timestamp,amount,currency,mcc,mcc_desc,geo,device,hist_mean,hist_std,merchant_age_days,minutes_since_prev_txn,prior_outcome,is_anomaly,anomaly_type
T0001,A1005,2025-09-08 21:55:23.216476,110.97,USD,5311,Dept Store,DE,new,139.4,35.03,158,,approved,False,
T0002,A1009,2025-09-08 23:40:30.778882,11.11,USD,4111,Transport,US,known,160.58,24.71,516,105.0,approved,False,
T0003,A1001,2025-09-09 00:21:27.526802,73.6,USD,5812,Restaurant,US,known,137.31,56.32,13,40.0,approved,False,
T0004,A1002,2025-09-09 01:21:59.408874,10.0,USD,5311,Dept Store,US,known,135.02,75.46,315,60.0,approved,False,
T0005,A1008,2025-09-09 01:26:03.606191,102.55,USD,5411,Grocery,US,known,43.98,52.13,68,4.0,declined,False,
T0006,A1008,2025-09-09 02:09:39.238701,223.47,USD,5311,Dept Store,CN,known,43.98,52.13,325,43.0,approved,False,
T0007,A1005,2025-09-09 03:35:15.861408,45.52,USD,5732,Fuel,US,known,139.4,35.03,123,85.0,approved,False,
T0008,A1000,2025-09-09 03:50:58.488902,11.87,USD,5812,Restaurant,US,known,248.0,76.55,120,15.0,declined,False,
T0009,A1003,2025-09-09 03:54:08.782991,5.0,USD,5812,Restaurant,MX,known,83.12,61.43,217,3.0,declined,False,
T0010,A1010,2025-09-09 03:55:56.214442,2297.44,USD,4829,Wire Transfer,MX,new,105.86,75.13,36,1.0,approved,False,
T0011,A1011,2025-09-09 04:06:25.240066,42.35,USD,5411,Grocery,US,known,74.08,64.21,294,10.0,approved,False,
T0012,A1003,2025-09-09 04:22:42.650842,5.0,USD,5812,Restaurant,NG,new,83.12,61.43,241,16.0,approved,False,
T0013,A1000,2025-09-09 06:00:55.194851,41.8,USD,5732,Fuel,US,known,248.0,76.55,505,98.0,approved,False,
T0014,A1010,2025-09-09 06:37:47.566720,31.8,USD,5812,Restaurant,GB,new,105.86,75.13,62,36.0,approved,False,
T0015,A1000,2025-09-09 07:23:48.476584,10.0,USD,5732,Fuel,US,new,248.0,76.55,152,46.0,approved,False,
T0016,A1009,2025-09-09 07:46:20.521737,29.58,USD,5812,Restaurant,US,known,160.58,24.71,627,22.0,approved,False,
T0017,A1007,2025-09-09 08:07:38.530831,4111.13,USD,4829,Wire Transfer,US,known,99.36,30.16,107,21.0,approved,False,
T0018,A1007,2025-09-09 08:56:01.151025,204.92,USD,7995,Betting,US,known,99.36,30.16,803,48.0,approved,True,betting_high_zscore
T0019,A1005,2025-09-09 10:18:11.677546,1296.42,USD,4829,Wire Transfer,MY,known,139.4,35.03,70,82.0,approved,False,
T0020,A1004,2025-09-09 10:30:09.132199,84.57,USD,5732,Fuel,US,known,86.89,39.56,325,11.0,approved,False,
T0021,A1000,2025-09-10 16:21:41.102302,204.78,USD,5311,Restaurant,CA,new,248.0,76.55,46,34.0,declined,False,
T0022,A1007,2025-09-09 12:06:21.293443,50.98,USD,5812,Restaurant,MY,known,99.36,30.16,11,61.0,approved,False,
T0023,A1008,2025-09-09 15:19:37.705593,87.17,USD,5732,Fuel,US,known,43.98,52.13,85,193.0,approved,False,
T0024,A1001,2025-09-09 15:38:27.724753,184.34,USD,7995,Betting,US,new,137.31,56.32,22,18.0,approved,False,
T0025,A1006,2025-09-09 16:08:24.133863,2106.06,USD,4829,Wire Transfer,US,known,133.94,44.46,66,29.0,approved,False,
T0026,A1010,2025-09-09 16:58:56.589607,45.3,USD,5812,Restaurant,US,known,105.86,75.13,272,50.0,approved,False,
T0027,A1010,2025-09-09 17:08:07.504040,28.48,USD,4111,Transport,IN,new,105.86,75.13,4,9.0,approved,False,
T0028,A1011,2025-09-09 18:04:51.936565,38.89,USD,4111,Transport,MX,known,74.08,64.21,97,56.0,approved,False,
